year,city_temp,global_temp
1841,15.86,7.69
1842,16.31,8.02
1843,16.41,8.17
1844,16.18,7.65
1845,16.20,7.85
1846,16.75,8.55
1847,16.53,8.09
1848,15.98,7.98
1849,16.28,7.98
1850,16.38,7.90
1851,16.31,8.18
1852,16.37,8.10
1853,16.78,8.04
1854,16.78,8.21
1855,16.49,8.11
1856,16.14,8.00
1857,16.52,7.76
1858,16.34,8.10
1859,16.59,8.25
1860,16.11,7.96
1861,16.15,7.85
1862,15.46,7.56
1863,16.15,8.11
1864,15.84,7.98
1865,16.65,8.18
1866,16.51,8.29
1867,16.83,8.44
1868,16.82,8.25
1869,16.93,8.43
1870,16.86,8.20
1871,16.94,8.12
1872,16.94,8.19
1873,16.69,8.35
1874,16.64,8.43
1875,16.54,7.86
1876,16.47,8.08
1877,16.36,8.54
1878,16.50,8.83
1879,16.90,8.17
1880,16.10,8.12
1881,16.52,8.27
1882,16.41,8.13
1883,16.14,7.98
1884,15.75,7.77
1885,15.82,7.92
1886,15.95,7.95
1887,16.39,7.91
1888,16.63,8.09
1889,16.40,8.32
1890,16.86,7.97
1891,16.71,8.02
1892,16.36,8.07
1893,16.09,8.06
1894,16.74,8.16
1895,16.25,8.15
1896,16.57,8.21
1897,16.49,8.29
1898,16.95,8.18
1899,16.66,8.40
1900,16.55,8.50
1901,16.43,8.54
1902,17.23,8.30
1903,16.40,8.22
1904,16.53,8.09
1905,15.88,8.23
1906,16.33,8.38
1907,16.55,7.95
1908,16.69,8.19
1909,16.73,8.18
1910,16.05,8.22
1911,16.23,8.18
1912,16.48,8.17
1913,16.50,8.30
1914,17.37,8.59
1915,16.69,8.59
1916,16.11,8.23
1917,16.23,8.02
1918,16.31,8.13
1919,17.00,8.38
1920,16.66,8.36
1921,16.66,8.57
1922,17.14,8.41
1923,17.01,8.42
1924,16.82,8.51
1925,17.12,8.53
1926,17.07,8.73
1927,17.14,8.52
1928,17.42,8.63
1929,16.84,8.24
1930,16.77,8.63
1931,16.42,8.72
1932,17.04,8.71
1933,16.61,8.34
1934,16.89,8.63
1935,17.17,8.52
1936,16.66,8.55
1937,16.77,8.70
1938,17.43,8.86
1939,17.12,8.76
1940,17.33,8.76
1941,17.41,8.77
1942,17.40,8.73
1943,17.13,8.76
1944,16.86,8.85
1945,17.20,8.58
1946,17.80,8.68
1947,17.15,8.80
1948,17.23,8.75
1949,17.36,8.59
1950,17.02,8.37
1951,16.96,8.63
1952,16.89,8.64
1953,17.46,8.87
1954,16.51,8.56
1955,16.90,8.63
1956,16.50,8.28
1957,16.49,8.73
1958,16.95,8.77
1959,17.36,8.73
1960,17.12,8.58
1961,17.81,8.80
1962,17.11,8.75
1963,17.47,8.86
1964,17.14,8.41
1965,17.03,8.53
1966,17.30,8.60
1967,16.80,8.70
1968,17.28,8.52
1969,16.45,8.60
1970,16.60,8.70
1971,16.74,8.60
1972,16.64,8.50
1973,17.13,8.95
1974,16.88,8.47
1975,17.08,8.74
1976,16.65,8.35
1977,16.94,8.85
1978,17.61,8.69
1979,17.53,8.73
1980,16.63,8.98
1981,16.85,9.17
1982,16.88,8.64
1983,17.15,9.03
1984,16.40,8.69
1985,16.81,8.66
1986,17.03,8.83
1987,17.17,8.99
1988,17.04,9.20
1989,16.78,8.92
1990,17.65,9.23
1991,16.91,9.18
1992,17.15,8.84
1993,16.65,8.87
1994,17.54,9.04
1995,17.33,9.35
1996,16.90,9.04
1997,17.43,9.20
1998,18.16,9.52
1999,17.61,9.29
2000,17.44,9.20
2001,17.69,9.41
2002,17.79,9.57
2003,17.48,9.53
2004,17.97,9.32
2005,17.55,9.70
2006,18.03,9.53
2007,18.24,9.73
2008,17.60,9.43
2009,17.82,9.51
2010,17.57,9.70
2011,17.39,9.52
2012,17.15,9.51
2013,19.29,9.61
