year,city,country,avg_temp
1841,Wuhan,China,15.86
1842,Wuhan,China,16.31
1843,Wuhan,China,16.41
1844,Wuhan,China,16.18
1845,Wuhan,China,16.20
1846,Wuhan,China,16.75
1847,Wuhan,China,16.53
1848,Wuhan,China,15.98
1849,Wuhan,China,16.28
1850,Wuhan,China,16.38
1851,Wuhan,China,16.31
1852,Wuhan,China,16.37
1853,Wuhan,China,16.78
1854,Wuhan,China,16.78
1855,Wuhan,China,16.49
1856,Wuhan,China,16.14
1857,Wuhan,China,16.52
1858,Wuhan,China,16.34
1859,Wuhan,China,16.59
1860,Wuhan,China,16.11
1861,Wuhan,China,16.15
1862,Wuhan,China,15.46
1863,Wuhan,China,16.15
1864,Wuhan,China,15.84
1865,Wuhan,China,16.65
1866,Wuhan,China,16.51
1867,Wuhan,China,16.83
1868,Wuhan,China,16.82
1869,Wuhan,China,16.93
1870,Wuhan,China,16.86
1871,Wuhan,China,16.94
1872,Wuhan,China,16.94
1873,Wuhan,China,16.69
1874,Wuhan,China,16.64
1875,Wuhan,China,16.54
1876,Wuhan,China,16.47
1877,Wuhan,China,16.36
1878,Wuhan,China,16.50
1879,Wuhan,China,16.90
1880,Wuhan,China,16.10
1881,Wuhan,China,16.52
1882,Wuhan,China,16.41
1883,Wuhan,China,16.14
1884,Wuhan,China,15.75
1885,Wuhan,China,15.82
1886,Wuhan,China,15.95
1887,Wuhan,China,16.39
1888,Wuhan,China,16.63
1889,Wuhan,China,16.40
1890,Wuhan,China,16.86
1891,Wuhan,China,16.71
1892,Wuhan,China,16.36
1893,Wuhan,China,16.09
1894,Wuhan,China,16.74
1895,Wuhan,China,16.25
1896,Wuhan,China,16.57
1897,Wuhan,China,16.49
1898,Wuhan,China,16.95
1899,Wuhan,China,16.66
1900,Wuhan,China,16.55
1901,Wuhan,China,16.43
1902,Wuhan,China,17.23
1903,Wuhan,China,16.40
1904,Wuhan,China,16.53
1905,Wuhan,China,15.88
1906,Wuhan,China,16.33
1907,Wuhan,China,16.55
1908,Wuhan,China,16.69
1909,Wuhan,China,16.73
1910,Wuhan,China,16.05
1911,Wuhan,China,16.23
1912,Wuhan,China,16.48
1913,Wuhan,China,16.50
1914,Wuhan,China,17.37
1915,Wuhan,China,16.69
1916,Wuhan,China,16.11
1917,Wuhan,China,16.23
1918,Wuhan,China,16.31
1919,Wuhan,China,17.00
1920,Wuhan,China,16.66
1921,Wuhan,China,16.66
1922,Wuhan,China,17.14
1923,Wuhan,China,17.01
1924,Wuhan,China,16.82
1925,Wuhan,China,17.12
1926,Wuhan,China,17.07
1927,Wuhan,China,17.14
1928,Wuhan,China,17.42
1929,Wuhan,China,16.84
1930,Wuhan,China,16.77
1931,Wuhan,China,16.42
1932,Wuhan,China,17.04
1933,Wuhan,China,16.61
1934,Wuhan,China,16.89
1935,Wuhan,China,17.17
1936,Wuhan,China,16.66
1937,Wuhan,China,16.77
1938,Wuhan,China,17.43
1939,Wuhan,China,17.12
1940,Wuhan,China,17.33
1941,Wuhan,China,17.41
1942,Wuhan,China,17.40
1943,Wuhan,China,17.13
1944,Wuhan,China,16.86
1945,Wuhan,China,17.20
1946,Wuhan,China,17.80
1947,Wuhan,China,17.15
1948,Wuhan,China,17.23
1949,Wuhan,China,17.36
1950,Wuhan,China,17.02
1951,Wuhan,China,16.96
1952,Wuhan,China,16.89
1953,Wuhan,China,17.46
1954,Wuhan,China,16.51
1955,Wuhan,China,16.90
1956,Wuhan,China,16.50
1957,Wuhan,China,16.49
1958,Wuhan,China,16.95
1959,Wuhan,China,17.36
1960,Wuhan,China,17.12
1961,Wuhan,China,17.81
1962,Wuhan,China,17.11
1963,Wuhan,China,17.47
1964,Wuhan,China,17.14
1965,Wuhan,China,17.03
1966,Wuhan,China,17.30
1967,Wuhan,China,16.80
1968,Wuhan,China,17.28
1969,Wuhan,China,16.45
1970,Wuhan,China,16.60
1971,Wuhan,China,16.74
1972,Wuhan,China,16.64
1973,Wuhan,China,17.13
1974,Wuhan,China,16.88
1975,Wuhan,China,17.08
1976,Wuhan,China,16.65
1977,Wuhan,China,16.94
1978,Wuhan,China,17.61
1979,Wuhan,China,17.53
1980,Wuhan,China,16.63
1981,Wuhan,China,16.85
1982,Wuhan,China,16.88
1983,Wuhan,China,17.15
1984,Wuhan,China,16.40
1985,Wuhan,China,16.81
1986,Wuhan,China,17.03
1987,Wuhan,China,17.17
1988,Wuhan,China,17.04
1989,Wuhan,China,16.78
1990,Wuhan,China,17.65
1991,Wuhan,China,16.91
1992,Wuhan,China,17.15
1993,Wuhan,China,16.65
1994,Wuhan,China,17.54
1995,Wuhan,China,17.33
1996,Wuhan,China,16.90
1997,Wuhan,China,17.43
1998,Wuhan,China,18.16
1999,Wuhan,China,17.61
2000,Wuhan,China,17.44
2001,Wuhan,China,17.69
2002,Wuhan,China,17.79
2003,Wuhan,China,17.48
2004,Wuhan,China,17.97
2005,Wuhan,China,17.55
2006,Wuhan,China,18.03
2007,Wuhan,China,18.24
2008,Wuhan,China,17.60
2009,Wuhan,China,17.82
2010,Wuhan,China,17.57
2011,Wuhan,China,17.39
2012,Wuhan,China,17.15
2013,Wuhan,China,19.29
