year,city,country,avg_temp
1829,Anshan,China,11.80
1830,Anshan,China,7.12
1831,Anshan,China,6.02
1832,Anshan,China,6.00
1833,Anshan,China,6.59
1834,Anshan,China,6.94
1835,Anshan,China,6.10
1836,Anshan,China,6.51
1837,Anshan,China,6.22
1838,Anshan,China,
1839,Anshan,China,5.91
1840,Anshan,China,6.79
1841,Anshan,China,5.77
1842,Anshan,China,6.66
1843,Anshan,China,6.94
1844,Anshan,China,6.81
1845,Anshan,China,6.80
1846,Anshan,China,7.26
1847,Anshan,China,7.11
1848,Anshan,China,7.03
1849,Anshan,China,7.03
1850,Anshan,China,5.99
1851,Anshan,China,5.62
1852,Anshan,China,5.85
1853,Anshan,China,6.14
1854,Anshan,China,7.06
1855,Anshan,China,7.45
1856,Anshan,China,6.84
1857,Anshan,China,6.67
1858,Anshan,China,7.11
1859,Anshan,China,6.93
1860,Anshan,China,5.80
1861,Anshan,China,6.16
1862,Anshan,China,6.29
1863,Anshan,China,7.29
1864,Anshan,China,6.62
1865,Anshan,China,6.60
1866,Anshan,China,6.81
1867,Anshan,China,7.15
1868,Anshan,China,7.06
1869,Anshan,China,7.35
1870,Anshan,China,6.65
1871,Anshan,China,6.81
1872,Anshan,China,6.64
1873,Anshan,China,6.53
1874,Anshan,China,7.20
1875,Anshan,China,7.14
1876,Anshan,China,7.40
1877,Anshan,China,6.98
1878,Anshan,China,6.87
1879,Anshan,China,6.99
1880,Anshan,China,6.82
1881,Anshan,China,6.72
1882,Anshan,China,7.16
1883,Anshan,China,6.78
1884,Anshan,China,5.99
1885,Anshan,China,6.53
1886,Anshan,China,7.04
1887,Anshan,China,6.79
1888,Anshan,China,6.56
1889,Anshan,China,6.39
1890,Anshan,China,7.72
1891,Anshan,China,7.02
1892,Anshan,China,6.13
1893,Anshan,China,6.14
1894,Anshan,China,7.76
1895,Anshan,China,6.22
1896,Anshan,China,6.65
1897,Anshan,China,6.95
1898,Anshan,China,7.94
1899,Anshan,China,7.94
1900,Anshan,China,7.31
1901,Anshan,China,7.04
1902,Anshan,China,7.47
1903,Anshan,China,7.52
1904,Anshan,China,7.00
1905,Anshan,China,7.21
1906,Anshan,China,6.73
1907,Anshan,China,6.99
1908,Anshan,China,6.59
1909,Anshan,China,6.44
1910,Anshan,China,6.31
1911,Anshan,China,6.49
1912,Anshan,China,6.24
1913,Anshan,China,6.38
1914,Anshan,China,7.65
1915,Anshan,China,6.24
1916,Anshan,China,6.72
1917,Anshan,China,6.17
1918,Anshan,China,6.85
1919,Anshan,China,7.21
1920,Anshan,China,7.62
1921,Anshan,China,7.05
1922,Anshan,China,6.90
1923,Anshan,China,6.69
1924,Anshan,China,6.95
1925,Anshan,China,7.15
1926,Anshan,China,7.18
1927,Anshan,China,7.12
1928,Anshan,China,7.03
1929,Anshan,China,7.10
1930,Anshan,China,7.49
1931,Anshan,China,6.73
1932,Anshan,China,7.57
1933,Anshan,China,6.75
1934,Anshan,China,6.80
1935,Anshan,China,7.80
1936,Anshan,China,6.42
1937,Anshan,China,7.38
1938,Anshan,China,7.59
1939,Anshan,China,8.04
1940,Anshan,China,7.49
1941,Anshan,China,7.42
1942,Anshan,China,7.34
1943,Anshan,China,8.11
1944,Anshan,China,7.28
1945,Anshan,China,6.77
1946,Anshan,China,7.72
1947,Anshan,China,5.45
1948,Anshan,China,7.84
1949,Anshan,China,7.62
1950,Anshan,China,7.56
1951,Anshan,China,7.47
1952,Anshan,China,7.07
1953,Anshan,China,7.08
1954,Anshan,China,7.10
1955,Anshan,China,7.83
1956,Anshan,China,6.18
1957,Anshan,China,6.58
1958,Anshan,China,7.70
1959,Anshan,China,8.20
1960,Anshan,China,7.72
1961,Anshan,China,8.24
1962,Anshan,China,7.57
1963,Anshan,China,7.48
1964,Anshan,China,7.40
1965,Anshan,China,7.27
1966,Anshan,China,7.20
1967,Anshan,China,7.43
1968,Anshan,China,7.57
1969,Anshan,China,6.33
1970,Anshan,China,7.17
1971,Anshan,China,7.28
1972,Anshan,China,7.39
1973,Anshan,China,7.91
1974,Anshan,China,7.22
1975,Anshan,China,8.31
1976,Anshan,China,7.01
1977,Anshan,China,7.59
1978,Anshan,China,7.69
1979,Anshan,China,7.87
1980,Anshan,China,6.88
1981,Anshan,China,7.30
1982,Anshan,China,8.27
1983,Anshan,China,8.17
1984,Anshan,China,7.34
1985,Anshan,China,6.94
1986,Anshan,China,7.30
1987,Anshan,China,7.46
1988,Anshan,China,8.11
1989,Anshan,China,8.78
1990,Anshan,China,8.66
1991,Anshan,China,8.02
1992,Anshan,China,8.16
1993,Anshan,China,7.92
1994,Anshan,China,8.74
1995,Anshan,China,8.25
1996,Anshan,China,7.91
1997,Anshan,China,8.48
1998,Anshan,China,9.18
1999,Anshan,China,8.67
2000,Anshan,China,7.91
2001,Anshan,China,7.97
2002,Anshan,China,8.64
2003,Anshan,China,8.62
2004,Anshan,China,8.91
2005,Anshan,China,7.75
2006,Anshan,China,8.52
2007,Anshan,China,9.19
2008,Anshan,China,8.82
2009,Anshan,China,8.27
2010,Anshan,China,7.59
2011,Anshan,China,8.04
2012,Anshan,China,7.54
2013,Anshan,China,9.30
1820,Changchun,China,3.63
1821,Changchun,China,4.62
1822,Changchun,China,4.63
1823,Changchun,China,4.09
1824,Changchun,China,5.08
1825,Changchun,China,4.86
1826,Changchun,China,4.78
1827,Changchun,China,5.32
1828,Changchun,China,4.55
1829,Changchun,China,4.41
1830,Changchun,China,4.76
1831,Changchun,China,3.68
1832,Changchun,China,3.67
1833,Changchun,China,4.26
1834,Changchun,China,4.72
1835,Changchun,China,3.83
1836,Changchun,China,4.26
1837,Changchun,China,3.88
1838,Changchun,China,4.31
1839,Changchun,China,3.54
1840,Changchun,China,4.61
